"id","price","brand","model","year","mileage","color","state","country","title_status"
381,54680,harley-davidson,road/street,2016,9502,black,virginia, usa,clean vehicle
382,6940,honda,door,2010,217290,no_color,pennsylvania, usa,clean vehicle
383,13080,infiniti,mpv,2019,17243,gray,florida, usa,clean vehicle
384,25,chevrolet,door,2007,194903,gray,virginia, usa,salvage insurance
385,10630,ford,door,2015,82899,white,georgia, usa,clean vehicle
386,43009,ford,door,2017,76418,white,michigan, usa,clean vehicle
387,25,gmc,door,2003,138441,white,michigan, usa,salvage insurance
388,4600,ford,pickup,2006,240740,brown,mississippi, usa,salvage insurance
389,4950,honda,mpv,2016,71404,black,virginia, usa,clean vehicle
390,3760,hyundai,doors,2019,30382,silver,florida, usa,clean vehicle
391,3900,acura,door,2009,179389,black,texas, usa,clean vehicle
392,0,cadillac,coupe,2000,105169,white,virginia, usa,salvage insurance
393,3830,ford,door,2015,82534,silver,georgia, usa,clean vehicle
394,53500,ford,door,2017,55732,white,michigan, usa,clean vehicle
395,25,ford,door,2010,198596,gray,michigan, usa,salvage insurance
396,25,ford,door,1998,300021,brown,arkansas, usa,salvage insurance
397,6240,honda,door,2015,83623,silver,virginia, usa,clean vehicle
398,4150,jeep,door,2014,108895,white,new york, usa,clean vehicle
399,25,jeep,door,1999,226972,black,florida, usa,salvage insurance
400,61200,bmw,series,2020,7509,black,california, usa,clean vehicle
401,0,buick,door,2006,137464,blue,virginia, usa,salvage insurance
402,13500,bmw,series,2014,33542,blue,new jersey, usa,clean vehicle
403,6490,ford,door,2015,74754,black,georgia, usa,clean vehicle
404,51502,ford,door,2017,27661,black,michigan, usa,clean vehicle
405,250,ford,door,2010,115241,white,michigan, usa,salvage insurance
